العمر(رقم_عدد صحيح),الجنس,الفرع الدراسي,المدينة/المحافظة,اهتمامي بالبرمجة والتقنية,اهتمامي بالرياضيات والمنطق,اهتمامي بالفيزياء والهندسة,اهتمامي بالطب والعلوم الصحية,اهتمامي بالكيمياء والأحياء,اهتمامي باللغات والآداب,اهتمامي بالعلوم الإنسانية (فلسفة، علم نفس، اجتماع),اهتمامي بالاقتصاد وإدارة الأعمال,اهتمامي بالفنون (رسم، موسيقى، تصميم),اهتمامي بالقانون والحقوق,أفضل الدراسة النظرية على العملية,أستمتع بحل المسائل المعقدة,أفضل العمل مع الناس أكثر من العمل مع الحاسوب,أتحمل ضغط الدراسة العالي إذا كان التخصص أحبه,أميل للاستقرار الوظيفي أكثر من المغامرة,ترتيب أهمية الدخل الجيد بالنسبة لي,ترتيب أهمية المكانة الاجتماعية,ترتيب أهمية العمل في مجال أحبه,ترتيب أهمية الاستقرار الوظيفي,التخصص الأول الذي أرغب به, التخصص الثاني الذي أرغب به, التخصص الثالث الذي أرغب به,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها,ما هو التخصص الذي يرغب أهلك أن تدرسه؟,سبب اختيار أهلك لهذا التخصص؟,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟,القدرة المادية للعائلة,علامة الرياضيات (0–100),علامة الفيزياء (0–100),علامة الكيمياء (0–100),علامة اللغة العربية (0–100),علامة اللغة الأجنبية (0–100),هل يمكنك الدراسة خارج مدينتك؟,هل يمكنك الدراسة في جامعة خاصة؟,ما هو التخصص الذي تتوقع أن تختاره فعليًا؟,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها_encoded,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟_encoded,هل يمكنك الدراسة في جامعة خاصة؟_encoded,القدرة المادية للعائلة_encoded,cluster
17,2,1,2,2,4,4,4,4,3,1,2,1,3,1,2,5,5,1,1,1,1,1,1,2,3,1,1,1,0,2,80.0,75.0,75.0,90.0,85.0,0,0,0,0.5,0.0,0.0,1,1
18,2,1,7,2,5,2,5,5,4,1,1,1,1,1,4,3,4,4,1,1,2,1,1,2,3,0,1,1,0,1,59.5,39.3,19.5,38.2,29.5,1,0,1,0.0,0.0,0.0,0,1
18,1,1,2,1,1,1,5,5,5,5,5,5,5,1,5,1,1,5,1,1,1,1,3,3,3,2,3,2,0,1,95.0,100.0,100.0,100.0,95.0,0,0,3,1.0,0.0,0.0,0,1
19,1,1,8,2,4,3,5,3,2,1,1,1,4,2,5,3,5,3,2,1,2,3,1,2,5,0,1,1,1,1,70.0,80.0,98.0,85.0,70.0,0,1,0,0.0,0.5,0.5,0,1
17,2,1,2,1,4,3,5,1,1,1,4,5,5,3,4,1,5,5,4,4,4,4,1,3,6,0,1,2,0,1,100.0,100.0,100.0,100.0,99.0,1,0,0,0.0,0.0,0.0,0,0
18,2,1,3,1,1,1,5,5,5,5,5,1,1,5,3,1,5,2,1,1,1,1,1,1,1,0,1,3,1,2,100.0,100.0,100.0,100.0,100.0,1,1,1,0.0,0.5,0.5,1,1
17,2,1,5,3,1,2,5,3,3,1,1,1,1,4,3,3,5,2,1,1,1,1,1,3,2,1,1,1,0,2,90.0,100.0,100.0,100.0,100.0,1,1,1,0.5,0.0,0.5,1,1
17,2,1,1,3,3,4,4,4,4,1,2,5,2,2,3,5,4,4,1,1,2,1,8,8,2,1,8,4,2,1,90.0,94.0,96.0,93.0,70.0,0,0,8,0.5,1.0,0.0,0,1
17,2,1,2,2,3,3,5,5,4,3,1,1,1,2,4,4,5,2,2,2,1,2,1,7,8,0,1,1,1,2,75.0,80.0,90.0,75.0,95.0,0,2,1,0.0,0.5,1.0,1,1
17,2,2,2,1,1,1,1,1,3,3,3,4,2,4,1,4,3,3,2,1,2,1,6,7,5,2,2,3,1,1,65.0,60.0,65.0,80.0,85.0,0,1,6,1.0,0.5,0.5,0,2
17,2,1,2,2,4,4,4,4,4,2,3,2,3,3,3,4,4,5,1,2,1,1,1,2,3,1,1,1,1,2,80.0,75.0,100.0,90.0,85.0,1,1,1,0.5,0.5,0.5,1,1
17,2,1,2,4,1,3,1,2,2,5,1,5,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,0,1,100.0,100.0,100.0,100.0,100.0,1,1,0,1.0,0.0,0.5,0,0
17,2,1,2,2,2,2,2,2,2,2,4,4,3,5,3,1,4,1,1,1,1,1,3,2,5,2,2,2,0,2,65.0,50.0,75.0,85.0,89.0,0,0,3,1.0,0.0,0.0,1,2
18,2,2,2,3,3,2,4,4,4,3,3,5,2,1,2,3,3,3,1,2,1,2,8,8,8,1,8,1,2,1,50.0,30.0,30.0,70.0,50.0,0,0,8,0.5,1.0,0.0,0,2
18,2,2,2,1,1,1,1,1,3,4,2,1,2,1,1,3,2,3,1,2,1,1,8,8,8,1,8,1,2,1,3.0,4.0,6.0,70.0,65.0,0,1,8,0.5,1.0,0.5,0,2
18,2,1,2,2,3,3,3,3,3,5,3,5,5,5,4,2,3,4,3,2,2,3,2,3,4,2,3,4,2,1,40.0,47.0,22.0,75.0,55.0,0,1,0,1.0,1.0,0.5,0,2
18,1,2,2,3,3,3,4,3,5,4,4,4,5,5,3,1,5,5,1,1,1,1,5,8,8,2,3,1,0,2,100.0,80.0,90.0,89.0,100.0,1,1,5,1.0,0.0,0.5,1,1
19,2,4,2,3,1,3,3,3,3,4,1,1,3,1,1,5,1,1,1,3,2,2,4,3,6,0,5,1,0,2,70.0,90.0,90.0,100.0,70.0,0,0,3,0.0,0.0,0.0,1,0
17,2,4,2,1,1,1,1,1,1,1,4,5,1,1,1,4,1,1,4,1,1,1,7,4,2,2,4,1,0,1,90.0,93.0,80.0,100.0,50.0,1,2,0,1.0,0.0,1.0,0,0
18,2,1,2,3,1,4,4,4,2,3,3,2,1,1,2,1,5,4,1,3,1,1,1,8,2,2,1,4,2,1,50.0,80.0,100.0,90.0,95.0,0,0,8,1.0,1.0,0.0,0,1
19,2,2,2,2,1,1,2,2,5,3,4,1,5,3,1,3,4,1,3,3,4,4,5,6,8,0,5,1,0,1,80.0,50.0,70.0,90.0,80.0,0,1,5,0.0,0.0,0.5,0,0
18,1,1,2,3,3,4,5,5,2,1,2,3,1,1,4,3,5,1,1,1,1,3,1,3,2,0,1,1,0,1,100.0,100.0,100.0,98.0,100.0,1,0,1,0.0,0.0,0.0,0,1
18,2,1,2,1,3,4,5,5,3,2,1,1,3,2,5,1,5,3,2,2,1,1,1,8,8,1,1,1,2,1,85.0,90.0,98.0,96.0,98.0,0,0,0,0.5,1.0,0.0,0,1
19,2,1,2,4,1,2,5,4,4,3,3,3,5,3,2,2,3,1,1,1,2,3,1,5,3,1,1,2,2,2,45.0,30.0,89.0,98.0,40.0,1,1,1,0.5,1.0,0.5,1,2
18,2,1,1,1,3,5,1,1,1,1,4,1,1,1,3,4,5,3,1,2,1,1,2,3,4,0,2,1,0,1,75.0,50.0,60.0,70.0,40.0,0,1,2,0.0,0.0,0.5,0,1
17,1,1,2,3,3,4,5,1,3,1,1,1,1,1,4,2,5,5,3,1,1,1,1,2,2,2,1,1,0,2,95.0,96.0,100.0,95.0,90.0,1,1,1,1.0,0.0,0.5,1,1
17,2,1,2,1,4,4,5,5,2,4,4,3,3,2,4,2,4,2,3,2,2,2,1,3,5,0,2,4,1,2,80.0,75.0,85.0,50.0,0.0,1,0,3,0.0,0.5,0.0,1,0
18,2,1,2,5,2,1,3,4,5,5,5,4,5,2,1,5,3,2,4,4,4,4,1,3,2,1,1,1,0,1,30.0,40.0,70.0,90.0,40.0,1,1,0,0.5,0.0,0.5,0,0
18,2,2,1,3,2,2,2,2,2,4,5,2,2,3,2,3,3,3,1,1,1,1,4,8,8,1,8,4,1,1,70.0,40.0,50.0,70.0,60.0,1,1,4,0.5,0.5,0.5,0,2
17,2,1,2,3,2,4,4,2,1,1,2,1,2,4,1,4,3,1,2,1,2,4,2,1,5,2,1,1,0,2,70.0,60.0,75.0,80.0,40.0,0,1,0,1.0,0.0,0.5,1,0
18,2,1,2,1,5,3,5,5,2,3,2,1,1,5,5,5,5,5,1,1,1,1,1,8,2,1,1,1,1,1,100.0,95.0,100.0,100.0,100.0,1,0,1,0.5,0.5,0.0,0,1
18,2,1,2,5,4,4,3,4,3,3,2,2,1,3,4,2,4,3,2,2,1,1,3,1,7,1,1,2,1,2,56.0,37.0,20.0,33.0,29.0,1,0,3,0.5,0.5,0.0,1,2
18,2,1,2,2,5,1,4,5,5,3,1,1,1,1,5,1,5,1,1,2,3,1,3,8,8,1,1,1,1,1,91.0,88.0,100.0,100.0,97.0,1,0,3,0.5,0.5,0.0,0,1
19,2,1,1,2,4,4,5,5,3,1,2,1,1,1,4,2,5,4,2,2,1,3,1,3,6,0,1,2,2,1,91.5,98.0,98.0,99.9,96.0,1,0,0,0.0,1.0,0.0,0,1
17,1,1,2,5,1,2,3,3,4,4,3,2,3,2,2,4,4,4,1,2,1,1,3,6,2,0,1,1,2,2,90.0,90.0,90.0,96.0,96.0,1,0,3,0.0,1.0,0.0,1,1
18,2,1,2,1,4,4,1,1,1,1,1,4,1,3,1,3,1,1,1,1,3,2,1,2,7,2,1,1,0,1,88.0,90.0,100.0,100.0,60.0,0,1,0,1.0,0.0,0.5,0,0
18,1,1,2,5,3,5,1,1,1,3,1,3,1,5,4,1,5,1,1,1,1,1,3,2,1,1,1,1,1,1,90.0,98.0,97.0,85.0,95.0,0,0,3,0.5,0.5,0.0,0,1
18,1,1,1,1,3,2,4,3,2,1,2,1,2,3,2,4,4,3,1,2,1,2,1,3,2,0,1,1,1,1,80.0,80.0,70.0,90.0,100.0,1,0,1,0.0,0.5,0.0,0,1
19,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,4,1,1,0,6,2,0,1,100.0,100.0,100.0,100.0,100.0,1,0,0,0.0,0.0,0.0,0,1
18,2,1,1,5,2,3,2,1,2,1,3,3,2,3,3,2,3,4,1,1,1,1,3,2,4,1,1,1,0,1,50.0,90.0,90.0,95.0,90.0,0,0,0,0.5,0.0,0.0,0,1
18,1,1,10,3,5,5,5,5,1,1,5,1,1,1,5,5,5,1,1,1,1,4,1,3,4,0,1,1,2,1,100.0,100.0,100.0,98.0,90.0,1,0,1,0.0,1.0,0.0,0,1
18,1,1,6,4,5,5,2,2,3,1,1,1,1,2,4,3,4,2,2,2,1,3,3,2,1,0,1,3,2,1,90.0,98.0,80.0,94.0,93.0,1,0,3,0.0,1.0,0.0,0,1
18,1,1,2,1,5,4,1,1,2,1,2,1,1,1,5,3,4,4,1,2,1,3,3,2,1,1,1,1,1,2,100.0,96.0,95.0,92.0,91.0,0,2,3,0.5,0.5,1.0,1,1
18,2,1,2,1,1,3,5,5,1,1,1,1,1,3,2,5,5,4,1,2,1,1,1,1,8,0,1,1,0,1,60.0,55.0,70.0,66.0,75.0,1,0,1,0.0,0.0,0.0,0,1
18,2,1,1,2,4,5,3,1,1,5,3,1,1,1,4,5,3,3,1,1,1,2,3,1,2,1,1,1,1,1,98.0,99.0,98.0,99.0,100.0,0,0,3,0.5,0.5,0.0,0,1
17,1,1,1,1,5,3,5,3,3,3,5,3,1,3,5,5,5,1,1,1,1,2,3,3,3,0,8,3,0,1,97.0,97.0,100.0,90.0,98.0,1,0,3,0.0,0.0,0.0,0,1
18,2,1,2,5,3,3,2,5,5,1,3,1,5,4,4,1,5,1,1,1,1,1,1,5,3,1,1,1,0,2,75.0,80.0,90.0,95.0,90.0,0,0,1,0.5,0.0,0.0,1,1
18,2,1,6,1,1,1,1,1,1,1,3,1,1,3,3,3,4,3,3,2,2,3,3,6,5,2,5,3,2,2,0.0,0.0,0.0,0.0,0.0,1,2,4,1.0,1.0,1.0,1,2
18,1,1,2,4,4,2,1,1,3,1,1,4,1,2,3,2,4,4,3,2,3,4,3,2,1,0,1,1,2,1,80.0,93.0,93.0,80.0,100.0,1,0,3,0.0,1.0,0.0,0,0
17,2,1,2,1,4,4,3,2,1,1,1,5,1,1,5,5,5,5,1,1,1,1,2,1,8,0,1,1,1,2,97.0,93.0,100.0,100.0,90.0,0,1,0,0.0,0.5,0.5,1,1
17,2,1,2,1,4,4,3,3,4,1,1,5,1,1,5,5,5,5,1,1,1,1,2,1,8,0,1,1,1,2,97.0,93.0,100.0,100.0,90.0,0,1,0,0.0,0.5,0.5,1,1
17,2,1,2,5,4,3,2,3,3,3,2,2,1,2,4,2,3,3,2,1,4,2,3,2,8,0,1,1,1,2,87.0,93.0,97.0,100.0,100.0,0,0,3,0.0,0.5,0.0,1,0
17,2,1,2,4,3,3,5,5,2,1,3,3,2,1,4,4,4,3,1,2,1,2,1,3,2,1,1,4,2,2,95.0,96.0,100.0,100.0,98.0,0,1,1,0.5,1.0,0.5,1,1
17,2,1,2,3,3,1,5,1,3,1,4,2,1,2,5,3,3,1,1,1,1,1,1,4,2,0,1,2,2,2,100.0,80.0,100.0,100.0,90.0,1,2,1,0.0,1.0,1.0,1,1
17,2,1,2,3,2,2,4,3,3,1,1,2,1,2,1,5,4,3,3,3,3,3,1,3,8,1,1,1,1,1,90.0,90.0,100.0,89.0,100.0,1,1,1,0.5,0.5,0.5,0,0
17,2,1,2,3,3,3,4,5,3,1,2,3,1,2,4,4,5,2,3,2,4,3,1,8,3,1,1,2,2,1,97.0,90.0,90.0,100.0,93.0,1,0,1,0.5,1.0,0.0,0,0
18,2,1,2,1,5,4,3,5,3,1,3,1,3,1,5,2,5,5,1,1,3,1,1,3,4,1,1,1,1,2,70.0,80.0,80.0,80.0,70.0,0,0,0,0.5,0.5,0.0,1,1
19,2,1,1,2,3,2,3,5,3,4,3,3,3,3,2,2,3,3,1,1,2,2,2,4,6,2,1,1,1,2,90.0,80.0,70.0,70.0,70.0,0,0,0,1.0,0.5,0.0,1,1
18,1,1,2,3,3,3,5,3,1,1,4,1,3,2,1,4,5,1,1,1,1,4,1,3,4,0,1,2,1,1,90.0,85.0,80.0,70.0,60.0,0,0,1,0.0,0.5,0.0,0,1
19,1,2,2,1,1,1,1,1,5,4,3,5,4,5,1,5,5,5,1,1,1,1,7,6,8,1,2,2,1,1,30.0,30.0,40.0,80.0,90.0,0,0,7,0.5,0.5,0.0,0,2
18,1,2,4,1,1,1,1,1,4,5,3,2,3,5,1,1,5,1,2,2,1,2,6,8,8,0,4,3,2,2,40.0,50.0,50.0,60.0,80.0,1,2,6,0.0,1.0,1.0,1,2
17,2,2,3,2,2,2,2,2,3,3,5,4,3,3,3,5,5,5,1,3,1,1,4,7,8,1,2,4,1,1,90.0,80.0,75.0,60.0,95.0,1,2,4,0.5,0.5,1.0,0,2
19,1,2,6,2,2,2,2,2,4,4,3,5,4,5,1,3,5,1,1,2,1,1,7,5,6,1,2,3,2,2,45.0,35.0,55.0,85.0,90.0,1,1,7,0.5,1.0,0.5,1,2
18,1,2,7,3,3,3,3,3,4,4,4,4,5,5,2,5,5,2,3,3,1,3,5,6,7,0,3,3,1,1,45.0,55.0,60.0,85.0,95.0,0,0,5,0.0,0.5,0.0,0,2
19,1,2,7,1,1,1,1,1,1,5,4,3,2,5,1,5,5,5,1,3,1,1,6,4,7,1,3,1,1,1,40.0,50.0,50.0,70.0,80.0,0,0,6,0.5,0.5,0.0,0,2
18,1,2,5,1,1,1,2,1,1,2,5,4,3,5,1,5,5,5,1,3,1,1,4,7,5,1,2,2,2,1,50.0,70.0,60.0,85.0,95.0,0,0,4,0.5,1.0,0.0,0,2
17,1,2,11,1,1,1,1,1,1,1,2,5,4,5,1,5,5,5,4,4,1,1,7,5,4,1,1,3,1,1,60.0,75.0,70.0,88.0,99.0,1,1,7,0.5,0.5,0.5,0,2
17,1,2,6,1,1,1,1,1,1,5,4,3,2,5,1,5,5,5,4,3,1,1,6,4,7,1,3,4,2,2,30.0,45.0,50.0,78.0,90.0,0,1,6,0.5,1.0,0.5,1,2
